2026-06-30 12:16:52,719 | INFO | candidate_transformer | ATS JSON parsed: File Candidate (0 skills, 0 experience entries, 0 education entries)
2026-06-30 12:16:52,721 | INFO | candidate_transformer | Parsing ATS JSON blob...
2026-06-30 12:16:52,721 | INFO | candidate_transformer | ATS JSON parsed: John Doe (0 skills, 0 experience entries, 0 education entries)
2026-06-30 12:16:52,722 | INFO | candidate_transformer | Parsing ATS JSON blob...
2026-06-30 12:16:52,723 | INFO | candidate_transformer | ATS JSON parsed: Single Name Field (0 skills, 0 experience entries, 0 education entries)
2026-06-30 12:16:52,725 | INFO | candidate_transformer | Parsing ATS JSON blob...
2026-06-30 12:16:52,725 | INFO | candidate_transformer | ATS JSON parsed: None (0 skills, 0 experience entries, 0 education entries)
2026-06-30 12:16:52,727 | INFO | candidate_transformer | Parsing ATS JSON blob...
2026-06-30 12:16:52,728 | INFO | candidate_transformer | ATS JSON parsed: None (0 skills, 0 experience entries, 0 education entries)
2026-06-30 12:16:52,730 | INFO | candidate_transformer | Parsing ATS JSON blob...
2026-06-30 12:16:52,730 | INFO | candidate_transformer | ATS JSON parsed: None (3 skills, 0 experience entries, 0 education entries)
2026-06-30 12:16:52,731 | INFO | candidate_transformer | Parsing ATS JSON blob...
2026-06-30 12:16:52,731 | INFO | candidate_transformer | ATS JSON parsed: None (0 skills, 0 experience entries, 0 education entries)
2026-06-30 12:16:52,733 | INFO | candidate_transformer | Parsing ATS JSON blob...
2026-06-30 12:16:52,733 | INFO | candidate_transformer | ATS JSON parsed: Applicant Wrapper (0 skills, 0 experience entries, 0 education entries)
2026-06-30 12:16:52,763 | INFO | candidate_transformer | Fetching GitHub profile for: torvalds
2026-06-30 12:16:52,764 | INFO | candidate_transformer | GitHub profile parsed: Linus Torvalds (3 skills, 1 projects)
2026-06-30 12:16:52,771 | INFO | candidate_transformer | Parsing LinkedIn URL: https://www.linkedin.com/in/john-doe-12345
2026-06-30 12:16:52,783 | INFO | candidate_transformer | Parsing LinkedIn URL: linkedin.com/in/sanjay-sarvesh
2026-06-30 12:16:52,791 | INFO | candidate_transformer | Parsing LinkedIn URL: https://example.com/not-linkedin
2026-06-30 12:16:52,792 | WARNING | candidate_transformer | Could not extract LinkedIn username from: https://example.com/not-linkedin
2026-06-30 12:16:52,794 | INFO | candidate_transformer | Parsing LinkedIn URL: https://www.linkedin.com/in/dev-engineer
2026-06-30 12:16:52,801 | INFO | candidate_transformer | Parsing LinkedIn URL: 
2026-06-30 12:16:52,802 | WARNING | candidate_transformer | Could not extract LinkedIn username from: 
2026-06-30 12:16:52,803 | INFO | candidate_transformer | Parsing LinkedIn URL: https://www.linkedin.com/in/test-user
2026-06-30 12:16:52,815 | INFO | candidate_transformer | Parsing Recruiter CSV...
2026-06-30 12:16:52,816 | INFO | candidate_transformer | Parsing Resume PDF...
2026-06-30 12:16:52,827 | INFO | candidate_transformer | Parsing TXT file: C:\Users\hp\AppData\Local\Temp\tmp1t0cqljb.txt
2026-06-30 12:16:52,829 | INFO | candidate_transformer | TXT file parsed: John Doe (3 skills, 0 experience entries)
2026-06-30 12:16:52,832 | INFO | candidate_transformer | Parsing TXT file: C:\Users\hp\AppData\Local\Temp\tmp03ptn1n2.txt
2026-06-30 12:16:52,832 | WARNING | candidate_transformer | TXT file is empty, returning empty candidate
2026-06-30 12:16:52,834 | INFO | candidate_transformer | Parsing TXT file: C:\Users\hp\AppData\Local\Temp\tmpfx4n1mi_.txt
2026-06-30 12:16:52,837 | INFO | candidate_transformer | TXT file parsed: Jane Doe (0 skills, 0 experience entries)
2026-06-30 12:16:52,838 | INFO | candidate_transformer | Parsing TXT file: /nonexistent/path.txt
2026-06-30 12:19:25,302 | INFO | candidate_transformer | [34121172-b424-4181-a9f7-1e39a9b0b9bb] GitHub-only transformation: https://github.com/sanjaysarveshcj
2026-06-30 12:19:25,302 | INFO | candidate_transformer | Parsing GitHub URL...
2026-06-30 12:19:25,303 | INFO | candidate_transformer | Fetching GitHub profile for: sanjaysarveshcj
2026-06-30 12:19:28,748 | INFO | candidate_transformer | GitHub profile parsed: Sanjay Sarvesh C J (6 skills, 10 projects)
2026-06-30 12:20:17,471 | INFO | candidate_transformer | [5138f59d-f5de-453a-8281-a46fdf861399] LinkedIn-only transformation: https://linkedin.com/in/sanjaysarveshcj
2026-06-30 12:20:17,471 | INFO | candidate_transformer | Parsing LinkedIn URL...
2026-06-30 12:20:17,472 | INFO | candidate_transformer | Parsing LinkedIn URL: https://linkedin.com/in/sanjaysarveshcj
2026-06-30 12:26:30,665 | INFO | candidate_transformer | Parsing ATS JSON blob...
2026-06-30 12:26:30,665 | INFO | candidate_transformer | ATS JSON parsed: Sanjay Sarvesh (2 skills, 1 experience entries, 1 education entries)
2026-06-30 12:26:30,669 | INFO | candidate_transformer | Parsing ATS JSON blob...
2026-06-30 12:26:30,669 | INFO | candidate_transformer | ATS JSON parsed: Jane Doe (2 skills, 0 experience entries, 0 education entries)
